"lat","lon","name"
48.57,9.04,"DE|BW|TÜ"
48.28,1.31,"FR|Centre-Val de Loire|Eure-et-Loir"
50.07,9.54,"DE|BY|Unterfranken"
48.41,8.25,"DE|BW|KA"
49.16,7.5,"DE|RP|Moselle"
50.38,10.01,"DE|BY|Unterfranken"
46.55,9.11,"CH|GR|Bezirk Surselva"
30.37,114.08,"CN|Hu Bei Sheng|Hubei"
54.32,11.04,"DE|SH|Ostholstein"
51.45,10.3,"DE|TH|EIC"
66.57,17.44,"SE|Norrbotten County|Arjeplog Municipality"
60.18,13.24,"SE|Värmlands län|Varmland County"
55.29,14.19,"SE"
48.04,9.19,"DE|BW|TÜ"
50.56,14.13,"CZ|Ústecký kraj|Ústí nad Labem Region"
48.36,11.41,"DE|BY|Oberbayern"
51.04,10.44,"DE|TH|WAK"
47.37,8.19,"CH|AG|Lenzburg District"
50.11,10.16,"DE|BY|Unterfranken"
48.4,13.31,"DE|BY|Lower Bavaria"
52.28,13.24,"DE|BB|Teltow-Fläming"
51.15,11.06,"DE|TH|SÖM"
46.07,7.38,"CH|VS|Hérens"
53.26,8.48,"DE|NDS|Wesermarsch"
51.15,7.28,"DE|NRW|Düsseldorf"
50.26,7.49,"DE|RP|Mayen-Koblenz"
58.34,49.34,"RU|Kirov Oblast|Orichevsky District"
40.39,17.57,"IT|Puglia|Apulia"
52.59,13.21,"DE|BB|Oberhavel"
50.26,8.23,"DE|HE|DA"
51.43,10.49,"DE|TH|NDH"
62.01,129.43,"RU|Sakha Republic|Respublika Sakha (Yakutiya)"
48.16,11.47,"DE|BY|Upper Bavaria"
49.59,8.46,"DE|HE|DA"
51.16,7.11,"DE|NRW|Düsseldorf"
36.36,117.03,"CN|Shan Dong Sheng|Shandong"
51.16,13.22,"DE|SN|C"
25.48,113.02,"CN|Hu Nan Sheng|Hunan"
47.15,39.49,"RU|Rostovskaya oblast'|Rostov Oblast"
51.22,12.44,"DE|SN|Leipzig"
48.47,13.19,"DE|BY|Niederbayern"
53.41,10.22,"DE|HH|Hamburg"
49.39,16.57,"CZ|Jihomoravský kraj|South Moravian Region"
49.39,13.16,"CZ|Plzeňský kraj|Plzeň Region"
49.39,9.16,"DE|BW|KA"
49.36,7.44,"DE|RP|KL"
50.36,8.38,"DE|HE|DA"
35.11,128.56,"KR|Gyeongsangnam-do"
46.41,13,"IT|Friuli-Venezia Giulia|UD"
38.15,140.21,"JP|Yamagata|Kaminoyama"
42.02,20.25,"AL|Lezhë County|Mirditë District"
52.18,7.23,"DE|NRW|MS"
44.47,17.13,"BA|Republika Srpska|Mrkonjić Grad"
35.17,62.21,"AF|Herat|Kushk"
50.16,6.47,"DE|RP|Eifelkreis Bitburg-Prüm"
46.18,4.48,"FR|Auvergne-Rhône-Alpes|Rhône"
61,31.3,"RU|Republic of Karelia|Pitkyarantsky District"
48.35,5.58,"FR|Grand Est|Vosges"
50.59,6.59,"DE|NRW|K"
53.16,2.36,""
51.1,12.16,"DE|SA|BLK"
48.35,13.41,"AT|Upper Austria|Oberösterreich"
53.23,10.41,"DE|NDS|LG"
51.36,12.35,"DE|SN|Kreisfreie Stadt Leipzig"
47.35,10.38,"DE|AT|Tirol"
53.5,9.15,"DE|NDS|Rotenburg (Wümme)"
52.17,11.49,"DE|SA|Börde"
59.23,28.07,"RU|Leningrad Oblast|Slantsevsky District"
46.33,6.37,"FR|Auvergne-Rhône-Alpes|Haute-Savoie"
59.16,24.13,"EE|Harju maakond|Harju County"
49.3,11.24,"DE|BY|Oberpfalz"
9.02,7.27,"NG|Federal Capital Territory|AMAC"
50.5,10.15,"DE|BY|Unterfranken"
39.15,9.03,"IT|Sardegna|Sardinia"
48.25,14.15,"AT|Upper Austria|Oberösterreich"
54.3,8.49,"DE|SH|Nordfriesland"
11.08,75.57,"IN"
48.25,10.4,"DE|BY|Schwaben"
47.5,13.15,"AT|Salzburg|St. Johann im Pongau District"
49.33,8.21,"DE|RP|Neustadt"
53.03,14.18,"DE|BB|gryfiński"
48.01,12.17,"DE|BY|Upper Bavaria"
48.27,8.25,"DE|BW|Freiburg"
53.43,7.09,"DE|NDS|AUR"
48.48,11.13,"DE|BY|Schwaben"
48.28,9.43,"DE|BW|TÜ"
51.03,13.18,"DE|SN|Mittelsachsen"
51.03,12.18,"DE|SA|BLK"
50.53,11.43,"DE|TH|Upper Franconia"
48.43,10.18,"DE|BY|Schwaben"
34.1,20.2,""
