lat,lon
53.10,12.13
52.25,11.19
50.23,6.28
51.30,12.23
53.20,7.09
54.44,8.35
48.10,7.38
54.25,9.49
51.18,7.34
52.59,7.42
53.56,8.57
50.41,7.43
52.28,14.31
54.03,11.37
49.27,9.29
51.23,9.32
54.30,13.20
54.19,8.38
52.04,10.20
50.35,11.29
53.42,7.50
54.05,9.54
49.02,11.04
54.31,11.03
51.34,8.46
54.06,13.37
50.00,10.56
52.10,14.07
52.22,5.20
53.31,10.06
54.01,6.35
55.01,13.09
55.07,7.06
55.41,12.05
51.22,9.12
60.18,5.13
61.10,6.39
60.12,11.06
60.49,11.04
59.19,4.52
58.53,5.38
58.12,8.05
59.14,10.21
59.54,10.37
59.56,10.43
59.17,11.07
59.23,10.47
59.22,13.28
59.53,17.36
59.39,17.55
59.21,17.57
59.11,17.55
59.04,16.23
59.50,18.38
59.45,19.25
58.53,11.00
58.05,11.20
57.42,12.00
58.26,12.43
57.46,14.05
57.43,16.27
58.24,15.31
58.35,16.09
57.40,18.21
56.18,12.51
56.02,12.46
55.23,12.49
56.01,14.51
55.34,13.04
55.33,13.22
56.16,15.17
56.41,16.18
61.25,23.35
61.03,28.12
60.58,25.38
60.54,26.56
60.19,24.58
59.46,22.57
60.08,-1.11
58.57,-2.54
58.13,-6.19
58.17,-4.26
57.13,-3.50
57.07,-3.38
57.39,-3.34
57.43,-3.19
58.27,-3.05
57.12,-2.13
56.30,-6.53
54.52,-4.56
55.31,-4.35
55.43,-2.23
55.19,-3.12
56.23,-2.52
54.05,-4.38
54.56,-2.58
54.18,-1.32
54.12,-1.23
54.03,-1.15
54.20,-0.31
54.05,-0.11
53.15,-4.32
53.16,-3.31
53.46,-3.02
53.10,-2.59
53.00,-1.15
53.10,0.31
53.02,-0.30
53.29,0.05
52.47,-4.44
52.48,-2.40
52.37,-0.28
52.39,0.34
52.08,-4.34
52.20,-3.57
52.15,-2.53
52.13,-0.29
52.07,0.58
51.43,-5.03
51.31,-2.35
51.52,-1.41
51.45,-1.35
51.33,-0.25
51.05,-4.09
51.30,-1.59
51.12,-1.49
51.17,0.46
51.29,-0.27
51.18,-0.05
51.21,1.21
49.55,-6.18
50.13,-5.20
50.05,-5.15
50.21,-4.07
51.01,-2.38
50.47,-1.50
50.35,-1.18
50.53,0.19
49.26,-2.36
49.13,-2.12
54.39,-6.13
51.56,-10.14
51.51,-8.29
52.51,-6.55
52.42,-8.55
53.26,-6.15
53.32,-7.22
54.14,-10.01
55.22,-7.20
57.06,9.52
57.46,10.39
